Img;Person;Vehicle;Emergency_vehicle;;
0;4;3;1;;
1;4;5;1;;
2;4;3;0;;
3;4;5;1;;
4;9;3;1;;
5;9;3;0;;
6;9;3;1;;
7;7;3;0;;
8;2;0;1;;
9;2;0;1;;
10;1;0;0;;
11;1;0;0;;
12;2;3;1;;
13;3;4;1;;
14;3;3;0;;
15;3;3;1;;
16;8;3;0;;
17;8;3;0;;
18;7;3;1;;
19;7;0;0;;
20;3;2;0;;
21;0;0;1;;
22;0;0;1;;
23;1;0;0;;
24;1;0;0;;
25;8;2;0;;
26;4;2;1;;
27;4;5;1;;
28;4;3;1;;
29;2;5;1;;
30;3;3;1;;
31;7;3;1;;
32;8;3;1;;
33;8;1;0;;
34;2;3;1;;
35;2;0;1;;
36;0;0;1;;
37;1;0;0;;
38;1;0;0;;
39;8;19;0;;
40;9;17;0;;
41;8;12;0;;
42;7;10;0;;
43;6;16;0;;
44;7;19;0;;
45;8;16;0;;
46;6;14;0;;
47;4;8;0;;
48;7;7;0;;
49;6;17;0;;
50;8;16;0;;
51;8;12;0;;
52;0;13;0;;
53;6;12;0;;
54;3;5;1;;
55;1;0;0;;
56;2;0;0;;
57;3;5;1;;
58;4;2;1;;
59;3;0;1;;
60;0;17;0;;
61;0;17;0;;
62;0;17;0;;
63;0;10;0;;
64;0;14;0;;
65;0;18;0;;
66;0;8;0;;
67;0;12;0;;
68;0;17;0;;
69;0;10;0;;
70;0;10;1;;
71;0;13;1;;
72;0;17;1;;
73;0;19;1;;
74;0;14;1;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
