scenario,group,scenario_folder,mode,images,audio,run_id,multi
scenario1,tarde,scenario1T,day,0,scenario1_audio1,img0_aud1,False
scenario1,tarde,scenario1T,day,1,scenario1_audio1,img1_aud1,False
scenario1,tarde,scenario1T,day,2,scenario1_audio1,img2_aud1,False
scenario1,tarde,scenario1T,day,3,scenario1_audio1,img3_aud1,False
scenario1,tarde,scenario1T,day,54,scenario1_audio1,img54_aud1,False
scenario1,tarde,scenario1T,day,"0,1",scenario1_audio1,img0_img1_aud1,True
scenario1,tarde,scenario1T,day,"0,2",scenario1_audio1,img0_img2_aud1,True
scenario1,tarde,scenario1T,day,"0,3",scenario1_audio1,img0_img3_aud1,True
scenario1,tarde,scenario1T,day,"0,54",scenario1_audio1,img0_img54_aud1,True
scenario1,tarde,scenario1T,day,"1,2",scenario1_audio1,img1_img2_aud1,True
scenario1,tarde,scenario1T,day,"1,3",scenario1_audio1,img1_img3_aud1,True
scenario1,tarde,scenario1T,day,"1,54",scenario1_audio1,img1_img54_aud1,True
scenario1,tarde,scenario1T,day,"2,3",scenario1_audio1,img2_img3_aud1,True
scenario1,tarde,scenario1T,day,"2,54",scenario1_audio1,img2_img54_aud1,True
scenario1,tarde,scenario1T,day,"3,54",scenario1_audio1,img3_img54_aud1,True
scenario1,tarde,scenario1T,day,0,scenario1_audio2,img0_aud2,False
scenario1,tarde,scenario1T,day,1,scenario1_audio2,img1_aud2,False
scenario1,tarde,scenario1T,day,2,scenario1_audio2,img2_aud2,False
scenario1,tarde,scenario1T,day,3,scenario1_audio2,img3_aud2,False
scenario1,tarde,scenario1T,day,54,scenario1_audio2,img54_aud2,False
scenario1,tarde,scenario1T,day,"0,1",scenario1_audio2,img0_img1_aud2,True
scenario1,tarde,scenario1T,day,"0,2",scenario1_audio2,img0_img2_aud2,True
scenario1,tarde,scenario1T,day,"0,3",scenario1_audio2,img0_img3_aud2,True
scenario1,tarde,scenario1T,day,"0,54",scenario1_audio2,img0_img54_aud2,True
scenario1,tarde,scenario1T,day,"1,2",scenario1_audio2,img1_img2_aud2,True
scenario1,tarde,scenario1T,day,"1,3",scenario1_audio2,img1_img3_aud2,True
scenario1,tarde,scenario1T,day,"1,54",scenario1_audio2,img1_img54_aud2,True
